DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,BG,2024,74.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2009,73.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2010,73.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2011,73.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2012,73.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2013,73.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2014,74.3,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2015,73.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2016,73.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2017,73.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2018,75.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2019,77.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2020,76.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2021,77.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2022,79.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2023,80.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CY,2024,79.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2009,70.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2010,70.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2011,70.5,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2012,71.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2013,72.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2014,73.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2015,74.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2016,75.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2017,75.9,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2018,76.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2019,76.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2020,76.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2021,76.6,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2022,77.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2023,77.1,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,CZ,2024,77.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2009,75.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2010,75.4,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2011,76.0,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2012,76.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2013,76.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2014,76.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2015,76.4,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2016,76.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2017,77.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2018,77.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2019,78.0,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2020,77.3,b,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2021,78.5,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2022,79.3,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2023,79.7,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DE,2024,80.2,,
ESTAT:TIPSLM60(1.0),14/04/25 23:00:00,A,PC_POP,Y15-64,T,DK,2009,78.7,,
